t,u[0],u[1]
0,1,0
0.1,1,-0.1
0.2,0.99,-0.2
0.3,0.97,-0.29904
0.4,0.940096,-0.396217
0.5,0.900474,-0.490687
0.6,0.851406,-0.581662
0.7,0.793239,-0.668403
0.8,0.726399,-0.750205
0.9,0.651379,-0.826389
1,0.56874,-0.896284
1.1,0.479111,-0.959222
1.2,0.383189,-1.01452
1.3,0.281737,-1.0615
1.4,0.175587,-1.09944
1.5,0.0656428,-1.12766
1.6,-0.047123,-1.14545
1.7,-0.161668,-1.15217
1.8,-0.276885,-1.14722
1.9,-0.391607,-1.13012
2,-0.504619,-1.10053
2.1,-0.614673,-1.05827
2.2,-0.7205,-1.00339
2.3,-0.820839,-0.936166
2.4,-0.914455,-0.857136
2.5,-1.00017,-0.767094
2.6,-1.07688,-0.667074
2.7,-1.14359,-0.558321
2.8,-1.19942,-0.442244
2.9,-1.24364,-0.320363
3,-1.27568,-0.194247
3.1,-1.2951,-0.0654609
3.2,-1.30165,0.0644928
3.3,-1.2952,0.19421
3.4,-1.27578,0.322414
3.5,-1.24354,0.447969
3.6,-1.19874,0.569875
3.7,-1.14175,0.687259
3.8,-1.07303,0.799347
3.9,-0.993093,0.90544
4,-0.902549,1.00487
4.1,-0.802062,1.09699
4.2,-0.692362,1.18111
4.3,-0.574251,1.2565
4.4,-0.448602,1.32234
4.5,-0.316367,1.37777
4.6,-0.178591,1.4218
4.7,-0.0364106,1.45342
4.8,0.108932,1.47158
4.9,0.25609,1.47523
5,0.403613,1.4634
5.1,0.549953,1.43529
5.2,0.693483,1.39031
5.3,0.832514,1.32818
5.4,0.965331,1.249
5.5,1.09023,1.15332
5.6,1.20556,1.04212
5.7,1.30978,0.916842
5.8,1.40146,0.779304
5.9,1.47939,0.631645
6,1.54256,0.476198
6.1,1.59018,0.315373
6.2,1.62171,0.151535
6.3,1.63687,-0.0131062
6.4,1.63556,-0.176573
6.5,1.6179,-0.337171
6.6,1.58418,-0.493506
6.7,1.53483,-0.644474
6.8,1.47038,-0.78922
6.9,1.39146,-0.927088
7,1.29875,-1.05755
